,rmsre_grad
137,0.4508599645339799
138,0.45085996453398025
139,0.4508599645339803
140,0.45085996453398014
141,0.45085996453398025
142,0.45085996453398025
143,0.4508599645339802
144,0.45085996453398014
145,0.45085996453398025
146,0.45085996453398025
147,0.4508599645339803
148,0.4508599645339799
149,0.45085996453398025
150,0.4508599645339803
151,0.45085996453398014
152,0.45085996453398025
153,0.45085996453398025
154,0.4508599645339802
155,0.45085996453398014
156,0.45085996453398025
157,0.45085996453398025
158,0.4508599645339803
159,0.4508599645339799
160,0.45085996453398025
161,0.4508599645339803
162,0.45085996453398014
163,0.45085996453398025
164,0.45085996453398025
165,0.4508599645339802
166,0.45085996453398014
167,0.45085996453398025
168,0.45085996453398025
169,0.4508599645339803
170,0.4508599645339799
171,0.45085996453398025
172,0.4508599645339803
173,0.45085996453398014
174,0.45085996453398025
175,0.45085996453398025
176,0.4508599645339802
177,0.45085996453398014
178,0.45085996453398025
179,0.45085996453398025
180,0.4508599645339803
181,0.4508599645339799
182,0.45085996453398025
183,0.4508599645339803
184,0.45085996453398014
185,0.45085996453398025
186,0.45085996453398025
187,0.4508599645339802
188,0.45085996453398014
189,0.45085996453398025
190,0.45085996453398025
191,0.4508599645339803
192,0.4508599645339799
193,0.45085996453398025
194,0.4508599645339803
195,0.45085996453398014
196,0.45085996453398025
197,0.45085996453398025
198,0.4508599645339802
199,0.45085996453398014
200,0.45085996453398025
201,0.45085996453398025
202,0.4508599645339803
203,0.4508599645339799
204,0.45085996453398025
205,0.4508599645339803
206,0.45085996453398014
207,0.45085996453398025
208,0.45085996453398025
209,0.4508599645339802
210,0.45085996453398014
211,0.45085996453398025
212,0.45085996453398025
213,0.4508599645339803
214,0.4508599645339799
215,0.45085996453398025
216,0.4508599645339803
217,0.45085996453398014
218,0.45085996453398025
219,0.45085996453398025
220,0.4508599645339802
221,0.45085996453398014
222,0.45085996453398025
223,0.45085996453398025
224,0.4508599645339803
225,0.4508599645339799
226,0.45085996453398025
227,0.4508599645339803
228,0.45085996453398014
229,0.45085996453398025
230,0.45085996453398025
231,0.4508599645339802
232,0.45085996453398014
233,0.45085996453398025
234,0.45085996453398025
235,0.4508599645339803
236,0.4508599645339799
237,0.45085996453398025
238,0.4508599645339803
239,0.45085996453398014
240,0.45085996453398025
241,0.45085996453398025
242,0.4508599645339802
